subject_id,target,n,unique_classes,class_0_count,class_0_ratio,class_1_count,class_1_ratio,positive_rate
id01,Q1,41,"0,1",23,0.5609756097560976,18,0.43902439024390244,0.43902439024390244
id02,Q1,48,"0,1",22,0.4583333333333333,26,0.5416666666666666,0.5416666666666666
id03,Q1,33,"0,1",5,0.15151515151515152,28,0.8484848484848485,0.8484848484848485
id04,Q1,57,"0,1",25,0.43859649122807015,32,0.5614035087719298,0.5614035087719298
id05,Q1,44,"0,1",17,0.38636363636363635,27,0.6136363636363636,0.6136363636363636
id06,Q1,48,"0,1",41,0.8541666666666666,7,0.14583333333333334,0.14583333333333334
id07,Q1,49,"0,1",24,0.4897959183673469,25,0.5102040816326531,0.5102040816326531
id08,Q1,56,"0,1",33,0.5892857142857143,23,0.4107142857142857,0.4107142857142857
id09,Q1,41,"0,1",20,0.4878048780487805,21,0.5121951219512195,0.5121951219512195
id10,Q1,33,"0,1",17,0.5151515151515151,16,0.48484848484848486,0.48484848484848486
id01,Q2,41,"0,1",18,0.43902439024390244,23,0.5609756097560976,0.5609756097560976
id02,Q2,48,"0,1",16,0.3333333333333333,32,0.6666666666666666,0.6666666666666666
id03,Q2,33,"0,1",6,0.18181818181818182,27,0.8181818181818182,0.8181818181818182
id04,Q2,57,"0,1",29,0.5087719298245614,28,0.49122807017543857,0.49122807017543857
id05,Q2,44,"0,1",25,0.5681818181818182,19,0.4318181818181818,0.4318181818181818
id06,Q2,48,"0,1",29,0.6041666666666666,19,0.3958333333333333,0.3958333333333333
id07,Q2,49,"0,1",24,0.4897959183673469,25,0.5102040816326531,0.5102040816326531
id08,Q2,56,"0,1",12,0.21428571428571427,44,0.7857142857142857,0.7857142857142857
id09,Q2,41,"0,1",23,0.5609756097560976,18,0.43902439024390244,0.43902439024390244
id10,Q2,33,"0,1",15,0.45454545454545453,18,0.5454545454545454,0.5454545454545454
id01,Q3,41,"0,1",17,0.4146341463414634,24,0.5853658536585366,0.5853658536585366
id02,Q3,48,"0,1",13,0.2708333333333333,35,0.7291666666666666,0.7291666666666666
id03,Q3,33,"0,1",9,0.2727272727272727,24,0.7272727272727273,0.7272727272727273
id04,Q3,57,"0,1",13,0.22807017543859648,44,0.7719298245614035,0.7719298245614035
id05,Q3,44,"0,1",14,0.3181818181818182,30,0.6818181818181818,0.6818181818181818
id06,Q3,48,"0,1",24,0.5,24,0.5,0.5
id07,Q3,49,"0,1",24,0.4897959183673469,25,0.5102040816326531,0.5102040816326531
id08,Q3,56,"0,1",31,0.5535714285714286,25,0.44642857142857145,0.44642857142857145
id09,Q3,41,"0,1",23,0.5609756097560976,18,0.43902439024390244,0.43902439024390244
id10,Q3,33,"0,1",12,0.36363636363636365,21,0.6363636363636364,0.6363636363636364
id01,S1,41,"0,1",15,0.36585365853658536,26,0.6341463414634146,0.6341463414634146
id02,S1,48,"0,1",6,0.125,42,0.875,0.875
id03,S1,33,"0,1",6,0.18181818181818182,27,0.8181818181818182,0.8181818181818182
id04,S1,57,"0,1",14,0.24561403508771928,43,0.7543859649122807,0.7543859649122807
id05,S1,44,"0,1",23,0.5227272727272727,21,0.4772727272727273,0.4772727272727273
id06,S1,48,"0,1",3,0.0625,45,0.9375,0.9375
id07,S1,49,"0,1",10,0.20408163265306123,39,0.7959183673469388,0.7959183673469388
id08,S1,56,"0,1",31,0.5535714285714286,25,0.44642857142857145,0.44642857142857145
id09,S1,41,"0,1",18,0.43902439024390244,23,0.5609756097560976,0.5609756097560976
id10,S1,33,"0,1",17,0.5151515151515151,16,0.48484848484848486,0.48484848484848486
id01,S2,41,"0,1",17,0.4146341463414634,24,0.5853658536585366,0.5853658536585366
id02,S2,48,"0,1",4,0.08333333333333333,44,0.9166666666666666,0.9166666666666666
id03,S2,33,"0,1",16,0.48484848484848486,17,0.5151515151515151,0.5151515151515151
id04,S2,57,"0,1",17,0.2982456140350877,40,0.7017543859649122,0.7017543859649122
id05,S2,44,"0,1",33,0.75,11,0.25,0.25
id06,S2,48,"0,1",4,0.08333333333333333,44,0.9166666666666666,0.9166666666666666
