subject_id,target,class_0_ratio,class_1_ratio
id01,Q1,0.5609756097560976,0.43902439024390244
id01,Q2,0.43902439024390244,0.5609756097560976
id01,Q3,0.4146341463414634,0.5853658536585366
id01,S1,0.36585365853658536,0.6341463414634146
id01,S2,0.4146341463414634,0.5853658536585366
id01,S3,0.14634146341463414,0.8536585365853658
id01,S4,0.5121951219512195,0.4878048780487805
id02,Q1,0.4583333333333333,0.5416666666666666
id02,Q2,0.3333333333333333,0.6666666666666666
id02,Q3,0.2708333333333333,0.7291666666666666
id02,S1,0.125,0.875
id02,S2,0.08333333333333333,0.9166666666666666
id02,S3,0.10416666666666667,0.8958333333333334
id02,S4,0.25,0.75
id03,Q1,0.15151515151515152,0.8484848484848485
id03,Q2,0.18181818181818182,0.8181818181818182
id03,Q3,0.2727272727272727,0.7272727272727273
id03,S1,0.18181818181818182,0.8181818181818182
id03,S2,0.48484848484848486,0.5151515151515151
id03,S3,0.5151515151515151,0.48484848484848486
id03,S4,0.8484848484848485,0.15151515151515152
id04,Q1,0.43859649122807015,0.5614035087719298
id04,Q2,0.5087719298245614,0.49122807017543857
id04,Q3,0.22807017543859648,0.7719298245614035
id04,S1,0.24561403508771928,0.7543859649122807
id04,S2,0.2982456140350877,0.7017543859649122
id04,S3,0.45614035087719296,0.543859649122807
id04,S4,0.49122807017543857,0.5087719298245614
id05,Q1,0.38636363636363635,0.6136363636363636
id05,Q2,0.5681818181818182,0.4318181818181818
id05,Q3,0.3181818181818182,0.6818181818181818
id05,S1,0.5227272727272727,0.4772727272727273
id05,S2,0.75,0.25
id05,S3,0.8636363636363636,0.13636363636363635
id05,S4,0.5909090909090909,0.4090909090909091
id06,Q1,0.8541666666666666,0.14583333333333334
id06,Q2,0.6041666666666666,0.3958333333333333
id06,Q3,0.5,0.5
id06,S1,0.0625,0.9375
id06,S2,0.08333333333333333,0.9166666666666666
id06,S3,0.041666666666666664,0.9583333333333334
id06,S4,0.14583333333333334,0.8541666666666666
id07,Q1,0.4897959183673469,0.5102040816326531
id07,Q2,0.4897959183673469,0.5102040816326531
id07,Q3,0.4897959183673469,0.5102040816326531
id07,S1,0.20408163265306123,0.7959183673469388
id07,S2,0.2857142857142857,0.7142857142857143
id07,S3,0.20408163265306123,0.7959183673469388
id07,S4,0.5306122448979592,0.46938775510204084
id08,Q1,0.5892857142857143,0.4107142857142857
id08,Q2,0.21428571428571427,0.7857142857142857
id08,Q3,0.5535714285714286,0.44642857142857145
id08,S1,0.5535714285714286,0.44642857142857145
id08,S2,0.39285714285714285,0.6071428571428571
id08,S3,0.3392857142857143,0.6607142857142857
id08,S4,0.39285714285714285,0.6071428571428571
id09,Q1,0.4878048780487805,0.5121951219512195
id09,Q2,0.5609756097560976,0.43902439024390244
id09,Q3,0.5609756097560976,0.43902439024390244
id09,S1,0.43902439024390244,0.5609756097560976
id09,S2,0.21951219512195122,0.7804878048780488
id09,S3,0.2926829268292683,0.7073170731707317
id09,S4,0.4146341463414634,0.5853658536585366
id10,Q1,0.5151515151515151,0.48484848484848486
id10,Q2,0.45454545454545453,0.5454545454545454
id10,Q3,0.36363636363636365,0.6363636363636364
id10,S1,0.5151515151515151,0.48484848484848486
id10,S2,0.6363636363636364,0.36363636363636365
id10,S3,0.5151515151515151,0.48484848484848486
id10,S4,0.3333333333333333,0.6666666666666666
