target,feature,spearman,abs_spearman,n,feature_type,semantic_group,signal_type,subject_adjusted_spearman,abs_subject_adjusted_spearman
Q1,wLight_w_light_median,-0.22391524214550584,0.22391524214550584,414,actual_behavior,light,raw_spearman,,
Q1,wLight_w_light_zero_count,0.20399487949549588,0.20399487949549588,414,coverage_proxy,light,raw_spearman,,
Q1,mLight_m_light_zero_count,0.19888305588190122,0.19888305588190122,450,coverage_proxy,light,raw_spearman,,
Q1,mLight_m_light_median,-0.1836563621311256,0.1836563621311256,450,actual_behavior,light,raw_spearman,,
Q1,wLight_w_light_q75,-0.15761696548912407,0.15761696548912407,414,actual_behavior,light,raw_spearman,,
Q1,wLight_w_light_q25,-0.15474797825013606,0.15474797825013606,414,actual_behavior,light,raw_spearman,,
Q1,mLight_m_light_nonzero_count,-0.147743175163517,0.147743175163517,450,coverage_proxy,light,raw_spearman,,
Q1,mLight_m_light_q25,-0.12894122462332036,0.12894122462332036,450,actual_behavior,light,raw_spearman,,
Q1,mLight_m_light_q75,-0.12848614476549186,0.12848614476549186,450,actual_behavior,light,raw_spearman,,
Q1,mActivity_m_activity_value_8_count,-0.1256547898406206,0.1256547898406206,450,actual_behavior,activity_code,raw_spearman,,
Q1,mActivity_m_activity_value_8_ratio,-0.1252203388979042,0.1252203388979042,450,actual_behavior,activity_code,raw_spearman,,
Q1,wLight_row_count,0.11942964921988096,0.11942964921988096,414,coverage_proxy,light,raw_spearman,,
Q1,wLight_w_light_nonnull_count,0.11942964921988096,0.11942964921988096,414,coverage_proxy,light,raw_spearman,,
Q1,mActivity_m_activity_value_0_count,0.11581039941967164,0.11581039941967164,450,actual_behavior,activity_code,raw_spearman,,
Q1,wPedo_burned_calories_q75,0.10931738070744092,0.10931738070744092,404,actual_behavior,activity_pedo,raw_spearman,,
Q1,wPedo_step_frequency_q75,0.10856674350302294,0.10856674350302294,404,actual_behavior,activity_pedo,raw_spearman,,
Q1,wPedo_step_q75,0.10856674350302294,0.10856674350302294,404,actual_behavior,activity_pedo,raw_spearman,,
Q1,wPedo_distance_q75,0.10856450618466237,0.10856450618466237,404,actual_behavior,activity_pedo,raw_spearman,,
Q1,wPedo_speed_q75,0.10856450618466237,0.10856450618466237,404,actual_behavior,activity_pedo,raw_spearman,,
Q1,mUsageStats_m_usage_stats_object_len_nonnull_count,0.106389486028678,0.106389486028678,440,coverage_proxy,app_usage,raw_spearman,,
Q1,wPedo_burned_calories_q75,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,0.22708256054783063,0.22708256054783063
Q1,mLight_m_light_q25,,,450,actual_behavior,light,subject_adjusted_spearman,-0.22232803823270317,0.22232803823270317
Q1,wPedo_step_frequency_q75,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,0.19908516615534777,0.19908516615534777
Q1,wPedo_step_q75,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,0.19908516615534777,0.19908516615534777
Q1,wPedo_distance_q75,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,0.1931559117818118,0.1931559117818118
Q1,wPedo_speed_q75,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,0.1931559117818118,0.1931559117818118
Q1,wLight_w_light_q25,,,414,actual_behavior,light,subject_adjusted_spearman,-0.17015875321758178,0.17015875321758178
Q1,wLight_w_light_median,,,414,actual_behavior,light,subject_adjusted_spearman,-0.15896499044734322,0.15896499044734322
Q1,mLight_m_light_min,,,450,actual_behavior,light,subject_adjusted_spearman,-0.15652874016607177,0.15652874016607177
Q1,wLight_w_light_zero_count,,,414,coverage_proxy,light,subject_adjusted_spearman,0.12880715298184123,0.12880715298184123
Q1,mLight_m_light_median,,,450,actual_behavior,light,subject_adjusted_spearman,-0.11881859261321087,0.11881859261321087
Q1,mScreenStatus_m_screen_use_unique_count,,,450,coverage_proxy,screen,subject_adjusted_spearman,-0.11614394864259829,0.11614394864259829
Q1,wLight_w_light_q75,,,414,actual_behavior,light,subject_adjusted_spearman,-0.11181095500771256,0.11181095500771256
Q1,mACStatus_m_charging_unique_count,,,450,coverage_proxy,charging,subject_adjusted_spearman,0.11031883339844395,0.11031883339844395
Q1,wPedo_burned_calories_q95,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.10880337228376372,0.10880337228376372
Q1,mLight_m_light_zero_count,,,450,coverage_proxy,light,subject_adjusted_spearman,0.10847463556638567,0.10847463556638567
Q1,wPedo_distance_q95,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.09765034004483059,0.09765034004483059
Q1,wPedo_speed_q95,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.09765034004483059,0.09765034004483059
Q1,wPedo_step_frequency_q95,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.09694327464045205,0.09694327464045205
Q1,wPedo_step_q95,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.09694327464045205,0.09694327464045205
Q2,mACStatus_m_charging_value_1_count,-0.17477065693219004,0.17477065693219004,450,actual_behavior,charging,raw_spearman,,
Q2,mACStatus_m_charging_value_0_ratio,0.1684940609302209,0.1684940609302209,450,actual_behavior,charging,raw_spearman,,
Q2,mACStatus_m_charging_value_1_ratio,-0.1684940609302209,0.1684940609302209,450,actual_behavior,charging,raw_spearman,,
Q2,mActivity_m_activity_value_7_count,-0.1542759090954733,0.1542759090954733,450,actual_behavior,activity_code,raw_spearman,,
Q2,mActivity_m_activity_value_7_ratio,-0.1472497639258146,0.1472497639258146,450,actual_behavior,activity_code,raw_spearman,,
Q2,mScreenStatus_m_screen_use_nonnull_count,-0.1470509092662616,0.1470509092662616,450,coverage_proxy,screen,raw_spearman,,
Q2,mScreenStatus_row_count,-0.1470509092662616,0.1470509092662616,450,coverage_proxy,screen,raw_spearman,,
Q2,mACStatus_m_charging_nonnull_count,-0.1235972683587357,0.1235972683587357,450,coverage_proxy,charging,raw_spearman,,
Q2,mACStatus_row_count,-0.1235972683587357,0.1235972683587357,450,coverage_proxy,charging,raw_spearman,,
Q2,mActivity_m_activity_value_4_ratio,0.11852401679681847,0.11852401679681847,450,actual_behavior,activity_code,raw_spearman,,
Q2,mActivity_m_activity_value_4_count,0.1155883416553633,0.1155883416553633,450,actual_behavior,activity_code,raw_spearman,,
Q2,mScreenStatus_m_screen_use_value_0_count,-0.11430700820057435,0.11430700820057435,450,actual_behavior,screen,raw_spearman,,
Q2,mACStatus_m_charging_value_0_count,0.11370324437714328,0.11370324437714328,450,actual_behavior,charging,raw_spearman,,
Q2,mLight_m_light_q25,0.11335894233808534,0.11335894233808534,450,actual_behavior,light,raw_spearman,,
Q2,mActivity_m_activity_nonnull_count,-0.1072418785323017,0.1072418785323017,450,coverage_proxy,activity_code,raw_spearman,,
Q2,mActivity_row_count,-0.1072418785323017,0.1072418785323017,450,coverage_proxy,activity_code,raw_spearman,,
Q2,mLight_m_light_sum,-0.1070822138877644,0.1070822138877644,450,actual_behavior,light,raw_spearman,,
Q2,mAmbience_m_ambience_object_len_nonnull_count,-0.1018005632061131,0.1018005632061131,450,coverage_proxy,coverage_or_object_proxy,raw_spearman,,
Q2,mAmbience_row_count,-0.1018005632061131,0.1018005632061131,450,coverage_proxy,coverage_or_object_proxy,raw_spearman,,
Q2,wPedo_distance_q99,-0.10118022097430276,0.10118022097430276,404,actual_behavior,activity_pedo,raw_spearman,,
Q2,wPedo_distance_sum,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.13577896011971805,0.13577896011971805
Q2,wPedo_speed_sum,,,404,actual_behavior,activity_pedo,subject_adjusted_spearman,-0.13577896011971805,0.13577896011971805
Q2,mActivity_m_activity_value_0_count,,,450,actual_behavior,activity_code,subject_adjusted_spearman,-0.13529221183693801,0.13529221183693801
