target,feature,spearman,abs_spearman,n,feature_type,semantic_group
Q1,wLight_w_light_04_08_zero_count,0.23809705545782028,0.23809705545782028,338,coverage_proxy,light
Q1,mLight_m_light_04_08_nonzero_count,-0.23063594413895736,0.23063594413895736,431,coverage_proxy,light
Q1,mLight_m_light_04_08_zero_count,0.20735834759927463,0.20735834759927463,431,coverage_proxy,light
Q1,mLight_m_light_04_08_median,-0.20700613115499894,0.20700613115499894,431,actual_behavior,light
Q1,wLight_w_light_04_08_nonnull_count,0.20171598512696984,0.20171598512696984,338,coverage_proxy,light
Q1,mLight_m_light_04_08_q75,-0.1991655358894684,0.1991655358894684,431,actual_behavior,light
Q1,mLight_m_light_04_08_sum,-0.19194248565864908,0.19194248565864908,431,actual_behavior,light
Q1,mLight_m_light_04_08_mean,-0.1919050055991193,0.1919050055991193,431,actual_behavior,light
Q1,mLight_m_light_04_08_q95,-0.18624413711069016,0.18624413711069016,431,actual_behavior,light
Q1,wLight_w_light_04_08_mean,-0.182980642557555,0.182980642557555,338,actual_behavior,light
Q1,wLight_w_light_20_24_nonnull_count,0.18168368798411208,0.18168368798411208,379,coverage_proxy,light
Q1,wHr_heart_rate_00_04_object_len_nonnull_count,0.17273099654384635,0.17273099654384635,105,coverage_proxy,heart_rate
Q1,wHr_heart_rate_00_04_object_len_nonzero_count,0.17273099654384635,0.17273099654384635,105,coverage_proxy,heart_rate
Q1,wHr_heart_rate_00_04_object_len_sum,0.17273099654384635,0.17273099654384635,105,coverage_proxy,heart_rate
Q1,wLight_w_light_04_08_std,-0.16710101263023125,0.16710101263023125,338,actual_behavior,light
Q1,wPedo_burned_calories_20_24_q95,0.1664036966658633,0.1664036966658633,355,actual_behavior,activity_pedo
Q1,mActivity_12_16_row_count,0.16584111274089358,0.16584111274089358,450,coverage_proxy,activity_code
Q1,wLight_20_24_row_count,0.16553661046989487,0.16553661046989487,414,coverage_proxy,light
Q1,mAmbience_12_16_row_count,0.1648860749331985,0.1648860749331985,450,coverage_proxy,coverage_or_object_proxy
Q1,wLight_w_light_04_08_q99,-0.1613801338467488,0.1613801338467488,338,actual_behavior,light
Q1,mLight_m_light_04_08_std,-0.1606926615748924,0.1606926615748924,431,actual_behavior,light
Q1,mActivity_m_activity_12_16_nonnull_count,0.15992206693004588,0.15992206693004588,446,coverage_proxy,activity_code
Q1,wPedo_distance_20_24_nonzero_count,0.15906559186079935,0.15906559186079935,355,coverage_proxy,activity_pedo
Q1,wPedo_speed_20_24_nonzero_count,0.15906559186079935,0.15906559186079935,355,coverage_proxy,activity_pedo
Q1,wPedo_step_20_24_nonzero_count,0.15906559186079935,0.15906559186079935,355,coverage_proxy,activity_pedo
Q1,wPedo_step_frequency_20_24_nonzero_count,0.15906559186079935,0.15906559186079935,355,coverage_proxy,activity_pedo
Q1,wPedo_step_frequency_20_24_mean,0.1583324718090397,0.1583324718090397,355,actual_behavior,activity_pedo
